'id_car_equipment','id_car_trim','name','year','date_create','date_update','id_car_type'
'116','2553','Sport Chic','2014','1463945292','1534978240','1'
'117','2553','Sport Chic','2013','1463945293','1534978241','1'
'118','2553','Sport Chic','2012','1463945293','1534978242','1'
'119','2553','Sport Chic','2015','1463945294','1534978243','1'
'120','2557','Sport Chic','2014','1463945294','1534978252','1'
'121','2557','So Chic','2015','1463945295','1534978253','1'
'122','2557','Sport Chic','2012','1463945296','1534978254','1'
'123','2557','So Chic','2012','1463945297','1534978254','1'
'124','2557','Sport Chic','2015','1463945298','1534978255','1'
'125','2557','So Chic','2013','1463945298','1534978256','1'
'126','2557','Sport Chic','2013','1463945299','1534978257','1'
'127','2557','So Chic','2014','1463945300','1534978259','1'
'128','2559','Sport Chic','2013','1463945306','1534978260','1'
'129','2559','So Chic','2012','1463945306','1534978260','1'
'130','2559','Chic','2013','1463945307','1534978261','1'
'131','2559','So Chic','2013','1463945307','1534978262','1'
'132','2559','Sport Chic','2014','1463945308','1534978263','1'
'133','2559','So Chic','2014','1463945309','1534978264','1'
'134','2559','Chic','2014','1463945309','1534978265','1'
'135','2559','Chic','2012','1463945310','1534978265','1'
'136','2559','Sport Chic','2012','1463945311','1534978266','1'
'137','2560','So Chic','2013','1463945311','1534978267','1'
'138','2560','Sport Chic','2014','1463945312','1534978268','1'
'139','2560','So Chic','2014','1463945312','1534978269','1'
'140','2560','Sport Chic','2013','1463945313','1534978269','1'
'141','2560','Sport Chic','2012','1463945314','1534978270','1'
'142','2560','So Chic','2012','1463945315','1534978271','1'
'143','2562','So Chic','2014','1463945315','1534978273','1'
'144','2562','Sport Chic','2012','1463945315','1534978274','1'
'145','2562','Sport Chic','2014','1463945316','1534978274','1'
'146','2562','Sport Chic','2013','1463945317','1534978275','1'
'147','2562','So Chic','2013','1463945317','1534978276','1'
'148','2562','So Chic','2012','1463945318','1534978277','1'
'149','3457','R/T','2012','1463945646','1534978367','1'
'150','3587','Comfort',NULL,'1463945762','1534978386','1'
'151','3588','Comfort',NULL,'1463945763','1534978387','1'
'152','3602','Deluxe',NULL,'1463945765','1534978391','1'
'153','3602','Standart',NULL,'1463945765','1534978390','1'
'154','3602','Comfortable',NULL,'1463945765','1534978391','1'
'155','3602','Comfortable Plus',NULL,'1463945766','1534978392','1'
'156','176078','Flagship',NULL,'1463945766','1534978393','1'
'157','3603','Comfortable Plus','2013','1463945767','1534978396','1'
'158','3603','Comfortable Plus','2014','1463945767','1534978397','1'
'159','3603','Deluxe','2013','1463945768','1534978396','1'
'160','3603','Deluxe','2014','1463945768','1534978398','1'
'161','3603','Base',NULL,'1463945768','1534978395','1'
'162','176080','Luxury',NULL,'1463945768','1534978394','1'
'163','3651','Podstawowa',NULL,'1463945769','1534978402','1'
'165','3658','Podstawowa',NULL,'1463945771','1634878934','1'
'166','3673','Podstawowa',NULL,'1463945883','1634878934','1'
'167','3674','Podstawowa','2014','1463945883','1634878934','1'
'168','3905','Emotion',NULL,'1463945887','1534978415','1'
'169','3905','Dynamic',NULL,'1463945887','1534978416','1'
'170','3905','Dynamic LE',NULL,'1463945887','1534978416','1'
'171','3905','Comfort',NULL,'1463945887','1534978417','1'
'172','4049','Dynamic',NULL,'1463945889','1534978418','1'
'173','4053','Dynamic',NULL,'1463945889','1534978419','1'
'174','4054','Emotion',NULL,'1463945889','1534978420','1'
'175','62380','Trend','2015','1463946011','1534978434','1'
'176','62380','Trend Plus','2015','1463946012','1534978437','1'
'177','62380','Trend','2016','1463946012','1534978435','1'
'178','62380','Titanium','2015','1463946012','1534978435','1'
'179','62380','Trend Plus','2016','1463946012','1534978436','1'
'180','62380','Titanium','2016','1463946012','1534978433','1'
'181','176090','Trend','2015','1463946012','1534978444','1'
'182','176090','Trend Plus','2015','1463946013','1534978447','1'
'183','176090','Trend','2016','1463946013','1534978442','1'
'184','176090','Titanium','2015','1463946013','1534978445','1'
'185','176090','Trend Plus','2016','1463946013','1534978441','1'
'186','176090','Titanium Plus','2015','1463946013','1534978446','1'
'187','176090','Titanium','2016','1463946013','1534978443','1'
'188','176090','Titanium Plus','2016','1463946014','1534978444','1'
'189','62382','Trend Plus','2015','1463946014','1534978452','1'
'190','62382','Titanium','2015','1463946014','1534978451','1'
'191','62382','Trend Plus','2016','1463946014','1534978450','1'
'192','62382','Titanium Plus','2015','1463946014','1534978450','1'
'193','62382','Titanium','2016','1463946014','1534978448','1'
'194','62382','Titanium Plus','2016','1463946014','1534978449','1'
'195','4478','Elegance',NULL,'1463946023','1534978466','1'
'196','4478','Trend',NULL,'1463946023','1534978467','1'
'197','4478','Core',NULL,'1463946023','1534978468','1'
'198','4481','Elegance',NULL,'1463946026','1534978470','1'
'199','176102','Elegance',NULL,'1463946026','1534978472','1'
'200','176102','Trend',NULL,'1463946026','1534978472','1'
'201','5054','Luxury',NULL,'1463946131','1534978490','1'
'202','5054','Elite',NULL,'1463946131','1534978491','1'
'203','5054','Elite +',NULL,'1463946131','1534978492','1'
'204','5052','Luxury',NULL,'1463946132','1534978488','1'
'205','5052','Elite',NULL,'1463946132','1534978489','1'
'206','5052','Elite +',NULL,'1463946132','1534978490','1'
'207','5115','Navigation',NULL,'1463946242','1534978495','1'
'209','5117','GL',NULL,'1463946243','1534978497','1'
'211','5117','Deluxe',NULL,'1463946243','1534978496','1'
'213','5118','Standard',NULL,'1463946244','1534978499','1'
'214','5118','Comfort',NULL,'1463946244','1534978499','1'
'215','176112','Elite',NULL,'1463946244','1534978500','1'
'216','176112','Deluxe',NULL,'1463946245','1534978501','1'
'217','5676','Start LE','2015','1463946668','1534978653','1'
'218','5676','Travel','2013','1463946668','1534978654','1'
'219','5676','Comfort','2013','1463946668','1534978655','1'
'220','5676','Start+Advanced','2013','1463946668','1534978656','1'
'221','5676','Start','2013','1463946668','1534978657','1'
